KdPosting,Tahun,KURincianSD,Kd_Rincian,RincianSD,Kd_SubRinci,Anggaran,AnggaranPAK,AnggaranStlhPAK,Belanja,Kd_Keg,SumberDana,Kd_Desa,TglPosting
"2","2019","12.2009.02.02.09.5.2.1.09.01PBH","5.2.1.09.","5.2.1.09.PBH","01",2.2000000000000000e+07,0.0000000000000000e+00,2.2000000000000000e+07,"BOP","12.2009.02.02.09.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.11.5.3.5.01.01DDS","5.3.5.01.","5.3.5.01.DDS","01",8.4456000000000000e+06,0.0000000000000000e+00,8.4456000000000000e+06,"BOP","12.2009.02.03.11.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.11.5.3.5.02.01DDS","5.3.5.02.","5.3.5.02.DDS","01",1.6205000000000000e+08,0.0000000000000000e+00,1.6205000000000000e+08,"BOP","12.2009.02.03.11.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.11.5.3.5.03.01DDS","5.3.5.03.","5.3.5.03.DDS","01",4.9204800000000000e+08,0.0000000000000000e+00,4.9204800000000000e+08,"BOP","12.2009.02.03.11.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.11.5.3.5.04.01DDS","5.3.5.04.","5.3.5.04.DDS","01",3.8000000000000000e+07,0.0000000000000000e+00,3.8000000000000000e+07,"BOP","12.2009.02.03.11.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.14.5.3.5.01.01DDS","5.3.5.01.","5.3.5.01.DDS","01",2.3200000000000000e+06,0.0000000000000000e+00,2.3200000000000000e+06,"BOP","12.2009.02.03.14.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.14.5.3.5.02.01DDS","5.3.5.02.","5.3.5.02.DDS","01",2.4000000000000000e+07,0.0000000000000000e+00,2.4000000000000000e+07,"BOP","12.2009.02.03.14.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.14.5.3.5.03.01DDS","5.3.5.03.","5.3.5.03.DDS","01",3.2774800000000000e+07,0.0000000000000000e+00,3.2774800000000000e+07,"BOP","12.2009.02.03.14.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.14.5.3.5.04.01DDS","5.3.5.04.","5.3.5.04.DDS","01",2.0250000000000000e+06,0.0000000000000000e+00,2.0250000000000000e+06,"BOP","12.2009.02.03.14.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.15.5.3.4.01.01PBH","5.3.4.01.","5.3.4.01.PBH","01",4.5000000000000000e+05,0.0000000000000000e+00,4.5000000000000000e+05,"BOP","12.2009.02.03.15.","PBH","12.2009.","12/31/18 00:00:00"
