Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,SumberDana,Uraian,Satuan,JmlSatuan,HrgSatuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK,Kode_SBU
"2019","12.2009.","12.2009.01.01.01.","5.1.1.02.","01","02","PBP","Tunjangan Penghasilan Kepala Desa (1 Org)","OB",1.0000000000000000e+00,3.0000000000000000e+06,3.0000000000000000e+06,1.0000000000000000e+00,3.0000000000000000e+06,3.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","01","PBP","Sekretaris Desa (1 Org)","OB",1.0000000000000000e+00,1.6500000000000000e+06,1.6500000000000000e+06,1.0000000000000000e+00,1.6500000000000000e+06,1.6500000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","02","PBP","Kepala Seksi (3 Org)","OB",3.0000000000000000e+00,1.3000000000000000e+06,3.9000000000000000e+06,3.0000000000000000e+00,1.3000000000000000e+06,3.9000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","03","PBP","Kepala Urusan (3 Org)","OB",3.0000000000000000e+00,1.2500000000000000e+06,3.7500000000000000e+06,3.0000000000000000e+00,1.2500000000000000e+06,3.7500000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","04","PBP","Kepala Dusun (3 Org)","OB",3.0000000000000000e+00,9.0000000000000000e+05,2.7000000000000000e+06,3.0000000000000000e+00,9.0000000000000000e+05,2.7000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.2.1.01.","01","01","DDS","Dana Desa","Tahun",1.0000000000000000e+00,8.3955340000000000e+08,8.3955340000000000e+08,1.0000000000000000e+00,8.3955340000000000e+08,8.3955340000000000e+08,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","6.2.2.01.","01","01","DDS","Tambah Modal BUMDes","Ls",1.0000000000000000e+00,4.0000000000000000e+07,4.0000000000000000e+07,1.0000000000000000e+00,4.0000000000000000e+07,4.0000000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.07.","5.3.2.02.","01","01","PBP","Smartphone","Unit",8.0000000000000000e+00,1.3000000000000000e+06,1.0400000000000000e+07,8.0000000000000000e+00,1.3000000000000000e+06,1.0400000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.06.03.","5.2.5.05.","01","01","PBP","Pulsa 8 Smartphone","OB",4.8000000000000000e+01,5.0000000000000000e+04,2.4000000000000000e+06,4.8000000000000000e+01,5.0000000000000000e+04,2.4000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.04.","01","01","DDS","Sewa Mesin Molen","huk",6.3000000000000000e+01,4.0000000000000000e+05,2.5200000000000000e+07,6.3000000000000000e+01,4.0000000000000000e+05,2.5200000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.04.","01","02","DDS","Jasa Angkut Material","huk",7.6000000000000000e+01,1.0000000000000000e+05,7.6000000000000000e+06,7.6000000000000000e+01,1.0000000000000000e+05,7.6000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","08","DDS","Kertas HVS","rim",1.0000000000000000e+00,6.0000000000000000e+04,6.0000000000000000e+04,1.0000000000000000e+00,6.0000000000000000e+04,6.0000000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","09","DDS","Tinta Printer","botol",1.0000000000000000e+00,1.2000000000000000e+05,1.2000000000000000e+05,1.0000000000000000e+00,1.2000000000000000e+05,1.2000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","10","DDS","Map","buah",1.2000000000000000e+01,2.5000000000000000e+03,3.0000000000000000e+04,1.2000000000000000e+01,2.5000000000000000e+03,3.0000000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","11","DDS","Ballpoint","pak",1.0000000000000000e+00,3.0500000000000000e+04,3.0500000000000000e+04,1.0000000000000000e+00,3.0500000000000000e+04,3.0500000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","12","DDS","Materai 6.000","buah",6.0000000000000000e+00,7.0000000000000000e+03,4.2000000000000000e+04,6.0000000000000000e+00,7.0000000000000000e+03,4.2000000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.99.","5.3.4.02.","01","01","PBP","Pekerja (3 org X 20 hari)","hok",6.0000000000000000e+01,5.0000000000000000e+04,3.0000000000000000e+06,6.0000000000000000e+01,5.0000000000000000e+04,3.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.99.","5.3.4.02.","01","02","PBP","Tukang (2 Org X 20 hari)","hok",4.0000000000000000e+01,1.0000000000000000e+05,4.0000000000000000e+06,4.0000000000000000e+01,1.0000000000000000e+05,4.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.02.","01","01","DDS","Tukang","hok",3.2200000000000000e+02,1.2500000000000000e+05,4.0250000000000000e+07,3.2200000000000000e+02,1.2500000000000000e+05,4.0250000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.02.","01","02","DDS","Pekerja","hok",1.1600000000000000e+03,1.0500000000000000e+05,1.2180000000000000e+08,1.1600000000000000e+03,1.0500000000000000e+05,1.2180000000000000e+08,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","01","DDS","Ketua TPK (1 org X 3 bulan)","ob",3.0000000000000000e+00,3.0000000000000000e+05,9.0000000000000000e+05,3.0000000000000000e+00,3.0000000000000000e+05,9.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","02","DDS","Sekretaris TPK (1 org X 3 bulan)","ob",3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","03","DDS","Anggota TPK (1 org X 3 bulan)","ob",3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","04","DDS","Ketua Pengawas (1 org X 3 bulan)","ob",3.0000000000000000e+00,3.0000000000000000e+05,9.0000000000000000e+05,3.0000000000000000e+00,3.0000000000000000e+05,9.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","05","DDS","Sekretaris Pengawas (1 org X 3 bulan)","ob",3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","06","DDS","Anggota Pengawas (1 org X 3 bulan)","ob",3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","07","DDS","Tim Verifikasi","Paket",1.0000000000000000e+00,3.0000000000000000e+05,3.0000000000000000e+05,1.0000000000000000e+00,3.0000000000000000e+05,3.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","01","DDS","Ember","buah",1.0000000000000000e+01,1.5000000000000000e+04,1.5000000000000000e+05,1.0000000000000000e+01,1.5000000000000000e+04,1.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","02","DDS","Pengki","buah",5.0000000000000000e+00,1.3000000000000000e+04,6.5000000000000000e+04,5.0000000000000000e+00,1.3000000000000000e+04,6.5000000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","13","DDS","Photocopy","lembar",1.5000000000000000e+02,2.5000000000000000e+02,3.7500000000000000e+04,1.5000000000000000e+02,2.5000000000000000e+02,3.7500000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","14","DDS","Papan Nama Kegiatan","Paket",1.0000000000000000e+00,2.5000000000000000e+05,2.5000000000000000e+05,1.0000000000000000e+00,2.5000000000000000e+05,2.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","15","DDS","Dokumentasi Kegiatan","paket",1.0000000000000000e+00,1.5000000000000000e+05,1.5000000000000000e+05,1.0000000000000000e+00,1.5000000000000000e+05,1.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.04.","01","03","DDS","Stamper","hari",1.3000000000000000e+01,4.0000000000000000e+05,5.2000000000000000e+06,1.3000000000000000e+01,4.0000000000000000e+05,5.2000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","08","DDS","Kertas HVS","rim",2.0000000000000000e+00,6.0000000000000000e+04,1.2000000000000000e+05,2.0000000000000000e+00,6.0000000000000000e+04,1.2000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","09","DDS","Tinta Printer","botol",4.0000000000000000e+00,1.2000000000000000e+05,4.8000000000000000e+05,4.0000000000000000e+00,1.2000000000000000e+05,4.8000000000000000e+05,0.0000000000000000e+00,
