Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,Anggaran,AnggaranPAK,AnggaranStlhPAK
"2019","12.2009.","12.2009.03.02.99.","5.2.4.02.","01",6.0000000000000000e+06,0.0000000000000000e+00,6.0000000000000000e+06
"2019","12.2009.","12.2009.03.02.99.","5.2.7.04.","01",4.0000000000000000e+06,0.0000000000000000e+00,4.0000000000000000e+06
"2019","12.2009.","12.2009.03.03.06.","5.2.2.99.","01",3.5000000000000000e+06,0.0000000000000000e+00,3.5000000000000000e+06
"2019","12.2009.","12.2009.01.02.01.","5.3.2.02.","01",4.6000000000000000e+07,0.0000000000000000e+00,4.6000000000000000e+07
"2019","12.2009.","12.2009.01.02.01.","5.3.2.03.","01",6.9027998000000000e+07,0.0000000000000000e+00,6.9027998000000000e+07
"2019","12.2009.","12.2009.01.02.01.","5.3.2.04.","01",3.1000000000000000e+07,0.0000000000000000e+00,3.1000000000000000e+07
"2019","12.2009.","12.2009.02.03.15.","5.3.4.02.","01",1.6000000000000000e+06,0.0000000000000000e+00,1.6000000000000000e+06
"2019","12.2009.","12.2009.02.03.15.","5.3.4.01.","01",4.5000000000000000e+05,0.0000000000000000e+00,4.5000000000000000e+05
"2019","12.2009.","12.2009.02.03.15.","5.3.4.03.","01",1.6000000000000000e+07,0.0000000000000000e+00,1.6000000000000000e+07
"2019","12.2009.","12.2009.01.01.04.","5.2.1.09.","01",3.3000000000000000e+07,0.0000000000000000e+00,3.3000000000000000e+07
"2019","12.2009.","12.2009.01.01.04.","5.2.5.01.","01",4.2000000000000000e+06,0.0000000000000000e+00,4.2000000000000000e+06
"2019","12.2009.","12.2009.02.03.14.","5.3.5.02.","01",2.4000000000000000e+07,0.0000000000000000e+00,2.4000000000000000e+07
"2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01",2.3200000000000000e+06,0.0000000000000000e+00,2.3200000000000000e+06
"2019","12.2009.","12.2009.02.03.14.","5.3.5.04.","01",2.0250000000000000e+06,0.0000000000000000e+00,2.0250000000000000e+06
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01",3.2774800000000000e+07,0.0000000000000000e+00,3.2774800000000000e+07
"2019","12.2009.","12.2009.04.03.03.","5.2.2.01.","01",2.5000000000000000e+05,0.0000000000000000e+00,2.5000000000000000e+05
"2019","12.2009.","12.2009.04.03.03.","5.2.1.06.","01",3.5000000000000000e+05,0.0000000000000000e+00,3.5000000000000000e+05
"2019","12.2009.","12.2009.04.03.03.","5.2.1.01.","01",1.4000000000000000e+05,0.0000000000000000e+00,1.4000000000000000e+05
"2019","12.2009.","12.2009.04.03.03.","5.2.1.05.","01",3.2500000000000000e+05,0.0000000000000000e+00,3.2500000000000000e+05
"2019","12.2009.","12.2009.01.03.02.","5.2.2.01.","01",1.5000000000000000e+07,0.0000000000000000e+00,1.5000000000000000e+07
"2019","12.2009.","12.2009.02.02.02.","5.2.2.05.","01",1.7200000000000000e+07,0.0000000000000000e+00,1.7200000000000000e+07
"2019","12.2009.","12.2009.04.03.03.","5.2.2.04.","01",2.0000000000000000e+06,0.0000000000000000e+00,2.0000000000000000e+06
"2019","12.2009.","12.2009.04.03.03.","5.2.1.09.","01",1.5750000000000000e+06,0.0000000000000000e+00,1.5750000000000000e+06
"2019","12.2009.","12.2009.04.03.03.","5.2.2.99.","01",1.0500000000000000e+06,0.0000000000000000e+00,1.0500000000000000e+06
"2019","12.2009.","12.2009.03.02.03.","5.2.4.03.","01",1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06
"2019","12.2009.","12.2009.03.02.03.","5.2.7.01.","01",3.7500000000000000e+06,0.0000000000000000e+00,3.7500000000000000e+06
