KdPosting,KURincianSD,Tahun,Sifat,SumberDana,Kd_Desa,Kd_Keg,Kd_Rincian,Anggaran,AnggaranPAK,Jan,Peb,Mar,Apr,Mei,Jun,Jul,Agt,Sep,Okt,Nop,Des,KunciData
"2","12.2009.01.01.07.5.2.2.90.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.01.01.07.","5.2.2.90.",2.9280000000000000e+08,0.0000000000000000e+00,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,2.4400000000000000e+07,1.0000000000000000e+00
"2","12.2009.01.01.07.5.3.2.02.01PBPAWAL","2019","AWAL","PBP","12.2009.","12.2009.01.01.07.","5.3.2.02.",1.0400000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0400000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.905.2.2.05.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.01.01.90","5.2.2.05.",1.2000000000000000e+07,0.0000000000000000e+00,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+00
"2","12.2009.01.01.915.2.2.99.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.01.01.91","5.2.2.99.",7.2000000000000000e+07,0.0000000000000000e+00,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,6.0000000000000000e+06,1.0000000000000000e+00
"2","12.2009.01.02.01.5.3.2.02.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.02.01.","5.3.2.02.",4.6000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.02.01.5.3.2.03.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.02.01.","5.3.2.03.",6.9027998000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9027998000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.02.01.5.3.2.04.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.02.01.","5.3.2.04.",3.1000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.03.02.5.2.2.01.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.01.03.02.","5.2.2.01.",1.5000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.02.02.5.2.2.05.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.02.02.","5.2.2.05.",1.7200000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7200000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.02.04.5.3.3.02.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.02.02.04.","5.3.3.02.",1.9200000000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.11.5.3.5.01.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.11.","5.3.5.01.",8.4456000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2052000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.2404000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.11.5.3.5.02.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.11.","5.3.5.02.",1.6163000000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7690000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,8.3940000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
