UserID,Kd_Kec,Kd_Desa
"×ÊÛËÅ—¦Ù","13","13.2004."
"ÖÒÏÙÏ™¦Ù","13","13.2005."
"êÊÛÅÌ—£ÛÓ","13","13.2006."
"ÖÒÛÅÏ™œÈ","13","13.2007."
"ÖÒØÓÑ¡","13","13.2008."
"ÖÒÏÓÅ“¤ÉÙ×","13","13.2009."
"ÞÊßÅÏ™žÜÝÙÜ","13","13.2010."
"ÖÒÏÅÕ§","14","14.2001."
"ÖÒÙÅÏ–’Ò","14","14.2002."
"ÞÊßÝÂŸ–ÒÓ×","14","14.2003."
"ÖÒÝÍÏ“ŸÎ","14","14.2004."
"ÖÒÝÅÓ§ŸÎåÆåÜ","14","14.2005."
"ÖÒßÅÏ™œÖàÌ","14","14.2006."
"ÖÒØÅÅ§","14","14.2007."
"ÖÒÏÙÌ“žÈàÆÛ","14","14.2008."
"êÊÛÅØ“Ð","14","14.2009."
"ÖÒÝÅÏ•¦Ù","14","14.2010."
"æÞØÅÔ“£Ð","15","15.2004."
"ÞÞáÅÎ“ŸÈÚ","15","15.2001."
"ÞÎßØÂŸ’ÕÓÍ","15","15.2002."
"ÖÒßÍÓ›¡","15","15.2003."
"ãÊßÙÏ™“ÈàÙØáÐ","15","15.2005."
"ãÊßÅÌ“ŸÚÓÑÔà","16","16.2001."
"ãØÛÈÐ“ÜàÌèå","16","16.2002."
"æÊÙÉÎ","16","16.2003."
"ÚÊÙÙÅ¤’","16","16.2004."
"çÊÛÎÖ ˜ÚÓ×Ü","16","16.2005."
"æÊÙÅÎŸ¦ÓëÆ","16","16.2006."
"æÊÙÅÎœ’àÓ","16","16.2007."
"ÕÞÛËÖ¤›ÈëÆ","16","16.2008."
"ÚÞßÙÅ§˜","16","16.2009."
"æÞØÅË“•Ð","16","16.2010."
"æÒáÙ","16","16.2011."
"ÞÒÎÖÂ¢–Ë×Ø","17","17.2001."
"ÖÒßÅÄ“¤","17","17.2002."
"ãÊßÅÌ“ŸÎÓ×âÞÐÒÏ","17","17.2003."
"çÊßÍÏ™˜ÜÞÑÔáÍÒÙÉ","17","17.2004."
"àÎØÅÓœ’àÓ","17","17.2005."
"àÊßËÂž¦àç","17","17.2006."
"ÚÊßÈÖ","17","17.2007."
"ÖÒÏÉÃ—£","17","17.2008."
"ãÞàÅÌ“žÜÞÞÔ","17","17.2009."
"æÞÚÆÆ¤¤ÈäÎ","17","17.2010."
"ãÊàÅÏ™˜ÙÓÍÔá","08","08.2013."
"ãÊàÅÏ™˜ÙÓÍÔáË×Ë","11","11.2014."
"çÊßÍÏ™˜ÜÞÙØáÐÎÌ","09","09.2015."
"ÖÒáÅÍ“ŸÎâÜÞ","01","01.2010."
"ÖÊÚÔÂ’","02","02.2001."
"ÖÊÚÔÂ’ÚÓ×Ü","02","02.2002."
"ÕÎÛØÆ ˜","02","02.2003."
"ÖÒßÉÏ––","02","02.2004."
"ÖÒØÙÎ¢’à","02","02.2005."
"ÖÒ×ÅÚ“","02","02.2006."
"ÞÎßØÂŸ¦ÒæÎ","02","02.2007."
"ÖÒÚÅÉ›","02","02.2008."
"ÖÒàÅÂ¦","02","02.2010."
"ÖÒ×ÙÏ¦š","02","02.2009."
"ÖÒØÅÐ”’ÕÖÚáÚ","03","03.2001."
"ÝÊáÍÎ—œÈä","03","03.2002."
"ÝÊáÍÍ§™Üä","03","03.2003."
"ÖÒÙÉÈ¡ŸÎ","03","03.2004."
"ÞÎÚÆÂ ˜ÒçÓÜáÐ","03","03.2005."
"ÖÒÏÍÏ¡ŸÎ","03","03.2006."
"ÕÞÛÈÆ¤","03","03.2007."
"àÎØÅÓ™’ÓÛÍ","03","03.2008."
"ÖÒàÅÍ“•È","03","03.2009."
"ãÊßÅÌ“ŸÓÛÒÔ","03","03.2010."
"ãÕÒÖÆ–","04","04.2001."
