KdPosting,Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,Uraian,SumberDana,JmlSatuan,HrgSatuan,Satuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.02.","01","01","Tukang","DDS",3.2200000000000000e+02,1.2500000000000000e+05,"hok",4.0250000000000000e+07,3.2200000000000000e+02,1.2500000000000000e+05,4.0250000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.02.","01","02","Pekerja","DDS",1.1600000000000000e+03,1.0500000000000000e+05,"hok",1.2180000000000000e+08,1.1600000000000000e+03,1.0500000000000000e+05,1.2180000000000000e+08,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","01","Ketua TPK (1 org X 3 bulan)","DDS",3.0000000000000000e+00,3.0000000000000000e+05,"ob",9.0000000000000000e+05,3.0000000000000000e+00,3.0000000000000000e+05,9.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","02","Sekretaris TPK (1 org X 3 bulan)","DDS",3.0000000000000000e+00,2.5000000000000000e+05,"ob",7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","03","Anggota TPK (1 org X 3 bulan)","DDS",3.0000000000000000e+00,2.5000000000000000e+05,"ob",7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","04","Ketua Pengawas (1 org X 3 bulan)","DDS",3.0000000000000000e+00,3.0000000000000000e+05,"ob",9.0000000000000000e+05,3.0000000000000000e+00,3.0000000000000000e+05,9.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","05","Sekretaris Pengawas (1 org X 3 bulan)","DDS",3.0000000000000000e+00,2.5000000000000000e+05,"ob",7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","06","Anggota Pengawas (1 org X 3 bulan)","DDS",3.0000000000000000e+00,2.5000000000000000e+05,"ob",7.5000000000000000e+05,3.0000000000000000e+00,2.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","07","Tim Verifikasi","DDS",1.0000000000000000e+00,3.0000000000000000e+05,"Paket",3.0000000000000000e+05,1.0000000000000000e+00,3.0000000000000000e+05,3.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","01","Ember","DDS",1.0000000000000000e+01,1.5000000000000000e+04,"buah",1.5000000000000000e+05,1.0000000000000000e+01,1.5000000000000000e+04,1.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","02","Pengki","DDS",5.0000000000000000e+00,1.3000000000000000e+04,"buah",6.5000000000000000e+04,5.0000000000000000e+00,1.3000000000000000e+04,6.5000000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","13","Photocopy","DDS",1.5000000000000000e+02,2.5000000000000000e+02,"lembar",3.7500000000000000e+04,1.5000000000000000e+02,2.5000000000000000e+02,3.7500000000000000e+04,0.0000000000000000e+00
