KdRek4,KdRek5,Nama_Rincian
"3.05.02.06.","3.05.02.06.080.","Bracket Standing Peralatan"
"3.05.02.06.","3.05.02.06.081.","Tangki Air"
"3.05.02.06.","3.05.02.06.082.","Home Theater"
"3.05.02.06.","3.05.02.06.999.","Alat Rumah Tangga Lainnya ( Home Use )"
"3.05.02.99.","3.05.02.99.999.","Alat Rumah Tangga Lainnya"
"3.06.01.01.","3.06.01.01.001.","Audio Mixing Console"
"3.06.01.01.","3.06.01.01.002.","Audio Mixing Portable"
"3.06.01.01.","3.06.01.01.003.","Audio Mixing Stationer"
"3.06.01.01.","3.06.01.01.004.","Audio Attenuator"
"3.06.01.01.","3.06.01.01.005.","Audio Amplifier"
"3.06.01.01.","3.06.01.01.006.","Audio Erase Unit"
"3.06.01.01.","3.06.01.01.007.","Audio Video Selector (Peralatan Studio Audio)"
"3.06.01.01.","3.06.01.01.008.","Audio Monitor Active"
"3.06.01.01.","3.06.01.01.009.","Audio Monitor Passive"
"3.06.01.01.","3.06.01.01.010.","Audio Reverberation"
"3.06.01.01.","3.06.01.01.011.","Audio Patch Panel"
"3.06.01.01.","3.06.01.01.012.","Audio Distribution"
"3.06.01.01.","3.06.01.01.013.","Audio Tone Generator"
"3.06.01.01.","3.06.01.01.014.","Audio Catridge Recorder"
"3.06.01.01.","3.06.01.01.015.","Audio Logging Recorder"
"3.06.01.01.","3.06.01.01.016.","Compact Disc Player"
"3.06.01.01.","3.06.01.01.017.","Cassette Duplicator"
"3.06.01.01.","3.06.01.01.018.","Disc Record Player"
"3.06.01.01.","3.06.01.01.019.","Multitrack Recorder"
"3.06.01.01.","3.06.01.01.020.","Reel Tape Duplicator"
"3.06.01.01.","3.06.01.01.021.","Compact Disc Juke Box System"
"3.06.01.01.","3.06.01.01.022.","Telephone Hybrid"
"3.06.01.01.","3.06.01.01.023.","Audio Phone In"
"3.06.01.01.","3.06.01.01.024.","Profanity Delay System"
"3.06.01.01.","3.06.01.01.025.","Audio Visual"
"3.06.01.01.","3.06.01.01.026.","Audio Filter"
"3.06.01.01.","3.06.01.01.027.","Audio Limiter"
"3.06.01.01.","3.06.01.01.028.","Audio Compressor"
"3.06.01.01.","3.06.01.01.029.","Turn Table"
"3.06.01.01.","3.06.01.01.030.","Talk Back Unit"
"3.06.01.01.","3.06.01.01.031.","Intercom Unit"
"3.06.01.01.","3.06.01.01.032.","Buzzer"
"3.06.01.01.","3.06.01.01.033.","Set Studio Light Signal"
"3.06.01.01.","3.06.01.01.034.","Dolby Noise Reduction"
"3.06.01.01.","3.06.01.01.035.","Modulation Monitor Speaker Kabaret"
"3.06.01.01.","3.06.01.01.036.","Microphone/Wireless MIC"
"3.06.01.01.","3.06.01.01.037.","Microphone/Boom Stand"
"3.06.01.01.","3.06.01.01.038.","Microphone Connector Box"
"3.06.01.01.","3.06.01.01.039.","Light Signal"
"3.06.01.01.","3.06.01.01.040.","Power Supply Microphone"
"3.06.01.01.","3.06.01.01.041.","Professional Sound System"
"3.06.01.01.","3.06.01.01.042.","Audio Master Control Unit"
"3.06.01.01.","3.06.01.01.043.","Time Indetification Unit"
"3.06.01.01.","3.06.01.01.044.","Audio Announcer Desk"
"3.06.01.01.","3.06.01.01.045.","Master Clock (Peralatan Studio Audio)"
"3.06.01.01.","3.06.01.01.046.","Slave Clock (Peralatan Studio Audio)"
"3.06.01.01.","3.06.01.01.047.","Audio Command Desk"
"3.06.01.01.","3.06.01.01.048.","Uninterruptible Power Supply (UPS)"
"3.06.01.01.","3.06.01.01.049.","Master Control Desk"
"3.06.01.01.","3.06.01.01.050.","Head Compensator"
"3.06.01.01.","3.06.01.01.051.","Automatic Voltage Regulator (AVR)"
"3.06.01.01.","3.06.01.01.053.","HUM/Cable Conpensator"
"3.06.01.01.","3.06.01.01.054.","Editing & Dubbing System"
"3.06.01.01.","3.06.01.01.055.","Analog Delay (Peralatan Studio Audio)"
"3.06.01.01.","3.06.01.01.056.","Battery Charger (Peralatan Studio Audio)"
"3.06.01.01.","3.06.01.01.057.","Blank Panel"
"3.06.01.01.","3.06.01.01.058.","Control Unit HF"
"3.06.01.01.","3.06.01.01.059.","Delay Unit"
"3.06.01.01.","3.06.01.01.060.","Power Amplifier"
"3.06.01.01.","3.06.01.01.061.","Paging Mic"
"3.06.01.01.","3.06.01.01.062.","Compact Monitor Panel For Stereo"
"3.06.01.01.","3.06.01.01.063.","Pistol Grip"
"3.06.01.01.","3.06.01.01.064.","Mounting Breaken"
"3.06.01.01.","3.06.01.01.065.","Chairman/Audio Conference"
"3.06.01.01.","3.06.01.01.066.","Time Switching"
"3.06.01.01.","3.06.01.01.067.","Terminal Board"
"3.06.01.01.","3.06.01.01.068.","Encoder/Decoder"
"3.06.01.01.","3.06.01.01.069.","Wind Shield"
"3.06.01.01.","3.06.01.01.070.","Receiver HF/LF"
"3.06.01.01.","3.06.01.01.071.","Receiver VHF/FM"
"3.06.01.01.","3.06.01.01.072.","Audio Tape Reel Recorder"
"3.06.01.01.","3.06.01.01.073.","Audio Cassette Recorder"
"3.06.01.01.","3.06.01.01.074.","Compact Disc Recorder"
"3.06.01.01.","3.06.01.01.075.","Digital Audio Storage System"
"3.06.01.01.","3.06.01.01.076.","Digital Audio Taperecorder"
"3.06.01.01.","3.06.01.01.077.","Blitzzer"
"3.06.01.01.","3.06.01.01.078.","Audio Maximizer"
"3.06.01.01.","3.06.01.01.079.","Microphone Cable"
"3.06.01.01.","3.06.01.01.080.","Signal Instrument Switcer"
"3.06.01.01.","3.06.01.01.081.","Celling Mount Bracket"
"3.06.01.01.","3.06.01.01.082.","Interfaceboard"
"3.06.01.01.","3.06.01.01.083.","Video Presenter"
"3.06.01.01.","3.06.01.01.084.","Multiscan Proyector"
"3.06.01.01.","3.06.01.01.085.","Cable"
"3.06.01.01.","3.06.01.01.086.","Scanner Coir, Presst"
"3.06.01.01.","3.06.01.01.087.","Komp. Interface Boar"
"3.06.01.01.","3.06.01.01.088.","Voice Recorder"
"3.06.01.01.","3.06.01.01.089.","AM/FM Measurement"
"3.06.01.01.","3.06.01.01.090.","Signal On Air"
"3.06.01.01.","3.06.01.01.091.","Digital LED Running Text"
"3.06.01.01.","3.06.01.01.092.","Analog/Digital Receiver"
"3.06.01.01.","3.06.01.01.093.","Digital Keyboard Technics"
"3.06.01.01.","3.06.01.01.094.","Explorist 600"
"3.06.01.01.","3.06.01.01.999.","Peralatan Studio Audio Lainnya"
"3.06.01.02.","3.06.01.02.001.","Assignment Switcher"
"3.06.01.02.","3.06.01.02.002.","Off Air TV Monitor"
"3.06.01.02.","3.06.01.02.003.","Camera Electronic"
"3.06.01.02.","3.06.01.02.004.","Pulse Generator (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.005.","Pulse Distribution Amplifier"
"3.06.01.02.","3.06.01.02.006.","Pulse Switcher"
"3.06.01.02.","3.06.01.02.007.","Pulse Delay Line"
"3.06.01.02.","3.06.01.02.008.","Character Generator (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.009.","Caption Generator"
"3.06.01.02.","3.06.01.02.010.","Telecine"
"3.06.01.02.","3.06.01.02.011.","Video Distribution Amplifier"
"3.06.01.02.","3.06.01.02.012.","Video Monitor"
"3.06.01.02.","3.06.01.02.013.","Video Tape Recorder Portable"
"3.06.01.02.","3.06.01.02.014.","Video Tape Recorder Stationer"
"3.06.01.02.","3.06.01.02.015.","Video Mixer"
"3.06.01.02.","3.06.01.02.016.","Video Switcher"
"3.06.01.02.","3.06.01.02.017.","Video Equalizer Amplifier"
"3.06.01.02.","3.06.01.02.018.","Video Color Bar Generator"
"3.06.01.02.","3.06.01.02.019.","Video Cross Bar Switch"
"3.06.01.02.","3.06.01.02.020.","Video Test Signal Generator"
"3.06.01.02.","3.06.01.02.021.","Video Corrector"
"3.06.01.02.","3.06.01.02.022.","Video Caption Adder"
"3.06.01.02.","3.06.01.02.023.","Video Hum Compensator"
"3.06.01.02.","3.06.01.02.024.","Video Processor"
"3.06.01.02.","3.06.01.02.025.","Video Station Id Generator"
"3.06.01.02.","3.06.01.02.026.","Video Patch Panel"
"3.06.01.02.","3.06.01.02.027.","Video Delay Unit"
"3.06.01.02.","3.06.01.02.028.","Video Processing Amplifier"
"3.06.01.02.","3.06.01.02.029.","Video Equalizer"
"3.06.01.02.","3.06.01.02.030.","Video Tape Evaluator"
"3.06.01.02.","3.06.01.02.031.","Video Effect Generator"
"3.06.01.02.","3.06.01.02.032.","VITS Inserter Generator"
"3.06.01.02.","3.06.01.02.033.","Camera Wall Box"
"3.06.01.02.","3.06.01.02.034.","Teleprompter"
"3.06.01.02.","3.06.01.02.035.","Time Base Corrector"
"3.06.01.02.","3.06.01.02.036.","Gun Smoke"
"3.06.01.02.","3.06.01.02.037.","Automatic Editing Control (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.038.","Power Supply (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.039.","Editing Electronic"
"3.06.01.02.","3.06.01.02.040.","Rectifier Unit"
"3.06.01.02.","3.06.01.02.041.","Remote Control Unit"
"3.06.01.02.","3.06.01.02.042.","Rak Peralatan"
"3.06.01.02.","3.06.01.02.043.","Stabilizing Amplifier"
"3.06.01.02.","3.06.01.02.044.","Digital Video Effect"
"3.06.01.02.","3.06.01.02.045.","Tripod Camera"
"3.06.01.02.","3.06.01.02.046.","Dimmer"
"3.06.01.02.","3.06.01.02.047.","Chiller"
"3.06.01.02.","3.06.01.02.048.","Slave Clock (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.049.","Master Clock (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.050.","Teledyne"
"3.06.01.02.","3.06.01.02.051.","Flying Spot Scanner"
"3.06.01.02.","3.06.01.02.052.","Synchronizing Pulse Generator"
"3.06.01.02.","3.06.01.02.053.","DC Converter"
"3.06.01.02.","3.06.01.02.054.","Black Burst Generator"
"3.06.01.02.","3.06.01.02.055.","Lighting Stand Tripod"
"3.06.01.02.","3.06.01.02.056.","Film Projector"
"3.06.01.02.","3.06.01.02.057.","Slide Projector"
"3.06.01.02.","3.06.01.02.058.","Command Desk"
"3.06.01.02.","3.06.01.02.059.","Announcer Desk"
"3.06.01.02.","3.06.01.02.060.","Camera Film"
"3.06.01.02.","3.06.01.02.061.","Lensa Kamera"
"3.06.01.02.","3.06.01.02.062.","Film Magazine"
"3.06.01.02.","3.06.01.02.063.","Claper"
"3.06.01.02.","3.06.01.02.064.","Changing Bag"
"3.06.01.02.","3.06.01.02.065.","Conditioner"
"3.06.01.02.","3.06.01.02.066.","Colour Film Analyzer"
"3.06.01.02.","3.06.01.02.068.","Film Sound Recorder"
"3.06.01.02.","3.06.01.02.069.","Tele Recorder"
"3.06.01.02.","3.06.01.02.070.","Camera View Finder"
"3.06.01.02.","3.06.01.02.071.","Servo Zoom Lens"
"3.06.01.02.","3.06.01.02.072.","Camera Adaptor"
"3.06.01.02.","3.06.01.02.073.","Photo Processing Set"
"3.06.01.02.","3.06.01.02.074.","Micro Film"
"3.06.01.02.","3.06.01.02.075.","Mixer PVC"
"3.06.01.02.","3.06.01.02.076.","Unit Replenieser Tank"
"3.06.01.02.","3.06.01.02.077.","Horizontal Motorized Film Rewinder"
"3.06.01.02.","3.06.01.02.078.","Vertical Motorized Film Rewinder"
"3.06.01.02.","3.06.01.02.079.","Manual Film Rewinder"
"3.06.01.02.","3.06.01.02.080.","Mesin Prosesing Film Negatif"
"3.06.01.02.","3.06.01.02.081.","Mesin Prosesing Film Positif"
"3.06.01.02.","3.06.01.02.082.","Mesin Prosesing Film Warna Negatif (ECN)"
"3.06.01.02.","3.06.01.02.083.","Mesin Prosesing Film Warna Positif (ECP)"
"3.06.01.02.","3.06.01.02.084.","Mesin Film Color Analyzer"
"3.06.01.02.","3.06.01.02.085.","Analitical Balance (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.086.","Alat Pemanas Prosesing ( Water Heater )"
"3.06.01.02.","3.06.01.02.087.","Stapler Film"
"3.06.01.02.","3.06.01.02.088.","Magnetic Stip"
"3.06.01.02.","3.06.01.02.089.","Splitzer Tape"
"3.06.01.02.","3.06.01.02.090.","Meja Editing Film"
"3.06.01.02.","3.06.01.02.091.","Digital Tbc"
"3.06.01.02.","3.06.01.02.092.","Titanium Tank Single Shaft"
"3.06.01.02.","3.06.01.02.093.","Temperatur Control C/W"
"3.06.01.02.","3.06.01.02.094.","Gear Box Sun Assy"
"3.06.01.02.","3.06.01.02.095.","Tacho Generator For Drive Motor Raching"
"3.06.01.02.","3.06.01.02.096.","Circulation System Complet"
"3.06.01.02.","3.06.01.02.097.","Chiller Water Complet"
"3.06.01.02.","3.06.01.02.098.","Video Audio Jack Panel"
"3.06.01.02.","3.06.01.02.099.","Automatic Emergency Light"
"3.06.01.02.","3.06.01.02.100.","Film Chain Multiplier"
"3.06.01.02.","3.06.01.02.101.","Photo Tustel"
"3.06.01.02.","3.06.01.02.102.","Photo Tustel Polaroid"
"3.06.01.02.","3.06.01.02.103.","Betacam Recorder/Player"
"3.06.01.02.","3.06.01.02.104.","Slide Rail"
"3.06.01.02.","3.06.01.02.105.","Weapon & Metal Detector ( Check Gate )"
"3.06.01.02.","3.06.01.02.107.","Layar Film/Projector"
"3.06.01.02.","3.06.01.02.108.","Camera Tune Simulator"
"3.06.01.02.","3.06.01.02.109.","Dry Splitzer Film"
"3.06.01.02.","3.06.01.02.110.","Video Tone Cleaner"
"3.06.01.02.","3.06.01.02.111.","Mini Viewer"
"3.06.01.02.","3.06.01.02.112.","Push Button Control Panel"
"3.06.01.02.","3.06.01.02.113.","Rak Terminal Vencing"
"3.06.01.02.","3.06.01.02.114.","Standard True Signal/Master Rack"
"3.06.01.02.","3.06.01.02.115.","Motor Driver"
"3.06.01.02.","3.06.01.02.116.","Analog Delay (Peralatan Studio Video Dan Film)"
"3.06.01.02.","3.06.01.02.117.","Standard Point Animation"
"3.06.01.02.","3.06.01.02.118.","Head Set"
"3.06.01.02.","3.06.01.02.119.","Character Effect Interface"
"3.06.01.02.","3.06.01.02.120.","Lighting Head Body"
"3.06.01.02.","3.06.01.02.121.","Lighting Mechanic"
"3.06.01.02.","3.06.01.02.122.","Alos 321 Fiche Reader"
"3.06.01.02.","3.06.01.02.123.","Alos 321 Alos Reader"
"3.06.01.02.","3.06.01.02.124.","Inserter Jacket Filmnes Model Frf-160 & 3500"
"3.06.01.02.","3.06.01.02.125.","Diaso Printer, 404"
"3.06.01.02.","3.06.01.02.126.","Diaso Processor 404 dan 404 D"
"3.06.01.02.","3.06.01.02.127.","Camera Under Water"
"3.06.01.02.","3.06.01.02.128.","Camera Digital"
"3.06.01.02.","3.06.01.02.129.","Tas Kamera"
"3.06.01.02.","3.06.01.02.130.","Lampu Blitz Kamera"
"3.06.01.02.","3.06.01.02.131.","Lensa Filter"
"3.06.01.02.","3.06.01.02.132.","Video Conference"
"3.06.01.02.","3.06.01.02.133.","Turbo IDDR (Intelligent Digital Disk Recorder)"
"3.06.01.02.","3.06.01.02.134.","Video Router"
"3.06.01.02.","3.06.01.02.135.","LCD Monitor"
"3.06.01.02.","3.06.01.02.136.","Sdi Rasteriser"
"3.06.01.02.","3.06.01.02.137.","Audio Monitoring Unit"
"3.06.01.02.","3.06.01.02.138.","Frame Synchronizer"
"3.06.01.02.","3.06.01.02.139.","Audio Transcoder"
"3.06.01.02.","3.06.01.02.140.","Audio Converter"
"3.06.01.02.","3.06.01.02.141.","Automation Main"
"3.06.01.02.","3.06.01.02.142.","Recording Workstation"
"3.06.01.02.","3.06.01.02.143.","Editor Workstation"
"3.06.01.02.","3.06.01.02.144.","On Air Recording"
"3.06.01.02.","3.06.01.02.145.","Connectors"
"3.06.01.02.","3.06.01.02.146.","Patch Cord"
"3.06.01.02.","3.06.01.02.147.","Audio Embedder"
"3.06.01.02.","3.06.01.02.148.","VTR Recorder"
"3.06.01.02.","3.06.01.02.149.","Analog Video Router"
"3.06.01.02.","3.06.01.02.150.","Broadband Amlifier"
"3.06.01.02.","3.06.01.02.151.","Splitter"
"3.06.01.02.","3.06.01.02.152.","RF Cable"
"3.06.01.02.","3.06.01.02.153.","F Connector"
"3.06.01.02.","3.06.01.02.154.","TV Connector"
"3.06.01.02.","3.06.01.02.155.","Thermo Bind Machine"
"3.06.01.02.","3.06.01.02.156.","Kamera Stile"
"3.06.01.02.","3.06.01.02.157.","Mini DV"
"3.06.01.02.","3.06.01.02.158.","Monopod"
"3.06.01.02.","3.06.01.02.159.","Clipp On"
"3.06.01.02.","3.06.01.02.160.","Computer Editing"
"3.06.01.02.","3.06.01.02.161.","Cut Editing"
"3.06.01.02.","3.06.01.02.162.","Duplicator VCD"
"3.06.01.02.","3.06.01.02.163.","Duplicator DVD"
"3.06.01.02.","3.06.01.02.164.","Video Splitter"
"3.06.01.02.","3.06.01.02.165.","Camera Conference"
"3.06.01.02.","3.06.01.02.999.","Peralatan Studio Video Dan Film Lainnya"
"3.06.01.03.","3.06.01.03.001.","Meja Gambar"
"3.06.01.03.","3.06.01.03.002.","Lichdruck Apparaat"
"3.06.01.03.","3.06.01.03.003.","Sablon Set"
"3.06.01.03.","3.06.01.03.004.","Alat Tulis Gambar"
"3.06.01.03.","3.06.01.03.005.","Busur Gambar"
"3.06.01.03.","3.06.01.03.006.","Jangka Gambar"
"3.06.01.03.","3.06.01.03.999.","Peralatan Studio Gambar Lainnya"
"3.06.01.04.","3.06.01.04.001.","Meja Membuat Klise"
"3.06.01.04.","3.06.01.04.002.","Meja Cetak Tangan"
"3.06.01.04.","3.06.01.04.003.","Mesin Cetak Listrik Sheet"
"3.06.01.04.","3.06.01.04.004.","Mesin Cetak Listrik Roll"
"3.06.01.04.","3.06.01.04.005.","Mesin Cetak Elektronik"
"3.06.01.04.","3.06.01.04.006.","Mesin Cetak"
"3.06.01.04.","3.06.01.04.007.","Mesin Cetak Offset Sheet"
"3.06.01.04.","3.06.01.04.008.","Mesin Cetak Offset Roll"
"3.06.01.04.","3.06.01.04.009.","Mesin Cetak Offset Mini"
"3.06.01.04.","3.06.01.04.010.","Mesin Pemotong Biasa"
"3.06.01.04.","3.06.01.04.011.","Mesin Pemotong Biasa Tiga Pisau"
"3.06.01.04.","3.06.01.04.012.","Mesin Jilid Bundar"
"3.06.01.04.","3.06.01.04.013.","Mesin Jilid Besar"
"3.06.01.04.","3.06.01.04.014.","Mesin Jilid"
"3.06.01.04.","3.06.01.04.015.","Mesin Lipat"
"3.06.01.04.","3.06.01.04.016.","Mesin Pembuat Huruf"
"3.06.01.04.","3.06.01.04.017.","Mesin Penyusun Huruf Biasa"
"3.06.01.04.","3.06.01.04.018.","Mesin Penyusun Huruf Foto (Foto Type Setting)"
"3.06.01.04.","3.06.01.04.019.","Mesin Pelubang (Peralatan Cetak)"
"3.06.01.04.","3.06.01.04.020.","Mesin Proof"
"3.06.01.04.","3.06.01.04.021.","Camera Vertical"
"3.06.01.04.","3.06.01.04.022.","Mesin Pres"
"3.06.01.04.","3.06.01.04.023.","Mesin Jahit Kawat"
"3.06.01.04.","3.06.01.04.024.","Mesin Jahit Benang"
"3.06.01.04.","3.06.01.04.025.","Mesin Pilung"
"3.06.01.04.","3.06.01.04.026.","Mesin Garis"
"3.06.01.04.","3.06.01.04.027.","Mesin Perekam Stensil Folio"
"3.06.01.04.","3.06.01.04.028.","Mesin Perekam Stensil Double Folio"
"3.06.01.04.","3.06.01.04.029.","Mesin Plate Maker Folio"
"3.06.01.04.","3.06.01.04.030.","Mesin Plate Maker Double Folio"
"3.06.01.04.","3.06.01.04.031.","Mesin Potong"
"3.06.01.04.","3.06.01.04.032.","Mesin Handpress"
"3.06.01.04.","3.06.01.04.033.","Mesin Stahd"
"3.06.01.04.","3.06.01.04.034.","Mesin Kertas"
"3.06.01.04.","3.06.01.04.035.","Kacip Potong Sudut"
"3.06.01.04.","3.06.01.04.036.","Alat Pembuat Vormstand"
"3.06.01.04.","3.06.01.04.037.","Mesin Paset"
"3.06.01.04.","3.06.01.04.038.","Mesin Prasise Klise"
"3.06.01.04.","3.06.01.04.039.","Mesin Pembolong Film Setengah Plano"
"3.06.01.04.","3.06.01.04.040.","Mesin Cetak Mas"
"3.06.01.04.","3.06.01.04.041.","Mesin Cetak Stereo Typer"
"3.06.01.04.","3.06.01.04.042.","Mesin Cetak Braille"
"3.06.01.04.","3.06.01.04.043.","Mesin Fonds"
"3.06.01.04.","3.06.01.04.044.","Mesin Folding"
"3.06.01.04.","3.06.01.04.045.","Mesin Barcode"
"3.06.01.04.","3.06.01.04.046.","Mesin Profesional Velobinder"
"3.06.01.04.","3.06.01.04.047.","Mesin Cacah"
"3.06.01.04.","3.06.01.04.048.","Image Setter"
"3.06.01.04.","3.06.01.04.049.","Mesin Sparasi"
"3.06.01.04.","3.06.01.04.050.","Camera Horizontal"
"3.06.01.04.","3.06.01.04.051.","Alat Cover Creasing"
"3.06.01.04.","3.06.01.04.052.","Mesin Pembuat ID Card"
"3.06.01.04.","3.06.01.04.999.","Peralatan Cetak Lainnya"
"3.06.01.05.","3.06.01.05.001.","Autograph Unit"
"3.06.01.05.","3.06.01.05.002.","Aviograph Plus Ploting Table"
"3.06.01.05.","3.06.01.05.003.","Planitop"
"3.06.01.05.","3.06.01.05.004.","Point Tranter Device"
"3.06.01.05.","3.06.01.05.005.","Trestirial Camera"
"3.06.01.05.","3.06.01.05.006.","Slohed Temlet"
"3.06.01.05.","3.06.01.05.007.","Sketch Master"
"3.06.01.05.","3.06.01.05.008.","Rectifier (Peralatan Studio Pemetaan/peralatan Ukur Tanah)"
"3.06.01.05.","3.06.01.05.009.","Optical Pantograph"
"3.06.01.05.","3.06.01.05.010.","Contact Printer"
"3.06.01.05.","3.06.01.05.011.","Pengering Photo"
"3.06.01.05.","3.06.01.05.012.","Vacum Frame"
"3.06.01.05.","3.06.01.05.013.","Coordinatograph"
"3.06.01.05.","3.06.01.05.014.","Pemotong Film"
"3.06.01.05.","3.06.01.05.015.","Streoscope Tanah"
"3.06.01.05.","3.06.01.05.016.","Waterpas"
"3.06.01.05.","3.06.01.05.017.","Theodolite (Peralatan Studio Pemetaan/peralatan Ukur Tanah)"
"3.06.01.05.","3.06.01.05.018.","Distomat"
"3.06.01.05.","3.06.01.05.019.","B.T.M"
"3.06.01.05.","3.06.01.05.020.","Level"
"3.06.01.05.","3.06.01.05.021.","Jalon"
"3.06.01.05.","3.06.01.05.022.","Rambu/Bak Ukur"
"3.06.01.05.","3.06.01.05.023.","Kompas Geologi"
"3.06.01.05.","3.06.01.05.024.","Clinometer"
"3.06.01.05.","3.06.01.05.025.","Altimeter (Peralatan Studio Pemetaan/peralatan Ukur Tanah)"
"3.06.01.05.","3.06.01.05.026.","Holiometer"
"3.06.01.05.","3.06.01.05.027.","Telescope (Peralatan Studio Pemetaan/peralatan Ukur Tanah)"
"3.06.01.05.","3.06.01.05.028.","Passer Doss"
"3.06.01.05.","3.06.01.05.029.","Curvermeter"
"3.06.01.05.","3.06.01.05.030.","Rollmeter"
"3.06.01.05.","3.06.01.05.031.","Meet Band"
"3.06.01.05.","3.06.01.05.032.","Busur Derajat"
"3.06.01.05.","3.06.01.05.033.","Chronometer (Peralatan Studio Pemetaan/peralatan Ukur Tanah)"
"3.06.01.05.","3.06.01.05.034.","Gawang Lokasi"
"3.06.01.05.","3.06.01.05.035.","Kompas (Peralatan Studio Pemetaan/peralatan Ukur Tanah)"
"3.06.01.05.","3.06.01.05.036.","Sextant"
"3.06.01.05.","3.06.01.05.037.","Teropong/Keker"
"3.06.01.05.","3.06.01.05.038.","GPS Receiver"
"3.06.01.05.","3.06.01.05.039.","Ground Paretrating Radar"
"3.06.01.05.","3.06.01.05.040.","Teken Schaal/Jangka Tusuk"
"3.06.01.05.","3.06.01.05.041.","Pantograph"
"3.06.01.05.","3.06.01.05.042.","Plani Meter"
"3.06.01.05.","3.06.01.05.043.","Prisma Roelak"
"3.06.01.05.","3.06.01.05.044.","Prisma Meter"
"3.06.01.05.","3.06.01.05.045.","Prisma Ukur"
"3.06.01.05.","3.06.01.05.046.","Ruiter Plaat"
"3.06.01.05.","3.06.01.05.047.","Kamera Udara"
"3.06.01.05.","3.06.01.05.048.","Stereoplotter"
"3.06.01.05.","3.06.01.05.049.","Planicomp"
"3.06.01.05.","3.06.01.05.050.","Meja Sinar"
"3.06.01.05.","3.06.01.05.051.","Graver"
"3.06.01.05.","3.06.01.05.052.","Pen Holder"
"3.06.01.05.","3.06.01.05.999.","Peralatan Studio Pemetaan/Peralatan Ukur Tanah Lainnya"
"3.06.01.99.","3.06.01.99.999.","Alat Studio Lainnya"
"3.06.02.01.","3.06.02.01.001.","Telephone (PABX)"
"3.06.02.01.","3.06.02.01.002.","Intermediate Telephone/Key Telephone"
"3.06.02.01.","3.06.02.01.003.","Pesawat Telephone"
"3.06.02.01.","3.06.02.01.004.","Telephone Mobile"
"3.06.02.01.","3.06.02.01.005.","Pager"
"3.06.02.01.","3.06.02.01.006.","Handy Talky (HT)"
"3.06.02.01.","3.06.02.01.007.","Telex"
"3.06.02.01.","3.06.02.01.008.","Selective Colling"
"3.06.02.01.","3.06.02.01.009.","Peralatan Spech Plas"
"3.06.02.01.","3.06.02.01.010.","Facsimile"
"3.06.02.01.","3.06.02.01.011.","Bidding Pit"
"3.06.02.01.","3.06.02.01.012.","Local Battery Telephone"
"3.06.02.01.","3.06.02.01.013.","Senhub Fixed"
"3.06.02.01.","3.06.02.01.014.","Senhub Mobile"
"3.06.02.01.","3.06.02.01.015.","Telepon Lapangan"
"3.06.02.01.","3.06.02.01.016.","Sentral Telepon Lapangan"
"3.06.02.01.","3.06.02.01.017.","Telepon Satelit"
"3.06.02.01.","3.06.02.01.018.","Kom Data"
"3.06.02.01.","3.06.02.01.019.","PDA"
"3.06.02.01.","3.06.02.01.020.","Telepon Digital"
"3.06.02.01.","3.06.02.01.021.","Telepon Analog"
"3.06.02.01.","3.06.02.01.999.","Alat Komunikasi Telephone Lainnya"
"3.06.02.02.","3.06.02.02.001.","Unit Tranceiver Ssb Portable"
"3.06.02.02.","3.06.02.02.002.","Unit Tranceiver Ssb Transportable"
"3.06.02.02.","3.06.02.02.003.","Unit Tranceiver Ssb Stationery"
"3.06.02.02.","3.06.02.02.999.","Alat Komunikasi Radio Ssb Lainnya"
"3.06.02.03.","3.06.02.03.001.","Unit Tranceiver HF Portable"
"3.06.02.03.","3.06.02.03.002.","Unit Tranceiver HF Transportable"
"3.06.02.03.","3.06.02.03.003.","Unit Tranceiver HF Stationery"
"3.06.02.03.","3.06.02.03.004.","Unit Tranceiver FM"
"3.06.02.03.","3.06.02.03.999.","Alat Komunikasi Radio HF/FM Lainnya"
"3.06.02.04.","3.06.02.04.001.","Unit Tranceiver VHF Portable"
"3.06.02.04.","3.06.02.04.002.","Unit Tranceiver VHF Transportable"
"3.06.02.04.","3.06.02.04.003.","Unit Tranceiver VHF Stationary"
"3.06.02.04.","3.06.02.04.999.","Alat Komunikasi Radio VHF Lainnya"
"3.06.02.05.","3.06.02.05.001.","Unit Tranceiver UHF Portable"
"3.06.02.05.","3.06.02.05.002.","Unit Tranceiver UHF Transportable"
"3.06.02.05.","3.06.02.05.003.","Unit Tranceiver UHF Stationary"
"3.06.02.05.","3.06.02.05.999.","Alat Komunikasi Radio UHF Lainnya"
"3.06.02.06.","3.06.02.06.001.","Publik Address (Lapangan)"
"3.06.02.06.","3.06.02.06.002.","Wireless Amplifier"
"3.06.02.06.","3.06.02.06.003.","Slide Projector (Lapangan)"
"3.06.02.06.","3.06.02.06.004.","Multiplex System"
"3.06.02.06.","3.06.02.06.005.","Frequency Systhesizer Unit"
